"Bill_id","Bill_description","Patron_id","Patron_name","Last_house_committee_id","Last_house_action","Last_house_action_date","Last_senate_committee_id","Last_senate_action","Last_senate_action_date","Last_conference_action","Last_conference_action_date","Last_governor_action","Last_governor_action_date","Emergency","Passed_house","Passed_senate","Passed","Failed","Carried_over","Approved","Vetoed","Full_text_doc1","Full_text_date1","Full_text_doc2","Full_text_date2","Full_text_doc3","Full_text_date3","Full_text_doc4","Full_text_date4","Full_text_doc5","Full_text_date5","Full_text_doc6","Full_text_date6","Last_house_actid","Last_senate_actid","Last_conference_actid","Last_governor_actid","Chapter_id","Introduction_date","Last_actid"
"SB718","Coal tax; limits aggregate amount of credits.","S93","Chafin","","","","S05","Incorporated by Finance (SB44-Carrico) (15-Y 0-N)","02/10/16","","","","","N","N","N","N","Y","N","N","N","SB718","01/21/16","","","","","","","","","","","","S0599","","","","01/21/16","S0599"
"SB719","Boats or other watercraft; DMV to issue permits for vehicles to transport.","S96","DeSteph","H19","Signed by Speaker","03/01/16","S11","Enrolled Bill Communicated to Governor on 3/7/2016","03/07/16","","","Approved by Governor-Chapter 533 (effective 7/1/16)","03/29/16","N","Y","Y","Y","N","N","Y","N","SB719","01/22/16","SB719ER","03/01/16","","","","","","","","","H5620","S7010","","G7050","","01/22/16","G7050"
"SB720","Environmental cleanup programs; localities may by ordinance establish.","S92","Lewis","","","","S07","Failed to report (defeated) in Local Government (6-Y 6-N)","02/09/16","","","","","N","N","N","N","Y","N","N","N","SB720","01/22/16","SB720S1","02/09/16","","","","","","","","","","S0792","","","","01/22/16","S0792"
"SB721","Protective orders; assesses civil penalty.","S92","Lewis","","","","S03","Passed by indefinitely in Courts of Justice (9-Y 6-N)","02/01/16","","","","","N","N","N","N","Y","N","N","N","SB721","01/22/16","","","","","","","","","","","","S0390","","","","01/22/16","S0390"
"SB722","Income tax, corporate; apportionment of revenue.","S32","Saslaw","","","","S05","Stricken at request of Patron in Finance (15-Y 0-N)","02/03/16","","","","","N","N","N","N","Y","N","N","N","SB722","01/22/16","","","","","","","","","","","","S0581","","","","01/22/16","S0581"
"SB723","Campaign finance; contributions from out-of-state sources prohibited.","S95","Chase","","","","S08","Continued to 2017 in Privileges and Elections (13-Y 0-N)","02/09/16","","","","","N","N","N","N","N","Y","N","N","SB723","01/22/16","","","","","","","","","","","","S0840","","","","01/22/16","S0840"
"SB724","Corrections, Board of; powers and duties.","S80","Marsden","","","","S09","Read third time and defeated by Senate (16-Y 24-N)","02/10/16","","","","","N","N","N","N","Y","N","N","N","SB724","01/22/16","SB724E","02/09/16","","","","","","","","","","S9515","","","","01/22/16","S9515"
"SB725","Competitive telephone companies; alternative providers.","S45","Edwards","","","","S02","Passed by indefinitely in Commerce and Labor (15-Y 0-N)","02/08/16","","","","","N","N","N","N","Y","N","N","N","SB725","01/22/16","","","","","","","","","","","","S0290","","","","01/22/16","S0290"
"SB726","Erosion and sediment control plans; utility company projects.","S45","Edwards","","","","S01","Failed to report (defeated) in Agriculture, Conservation and Natural Resources (5-Y 10-N)","02/04/16","","","","","N","N","N","N","Y","N","N","N","SB726","01/22/16","SB726S1","02/04/16","","","","","","","","","","S0192","","","","01/22/16","S0192"
"SB727","Virginia Freedom of Information Act; public access to noncriminal records.","S69","McDougle","H11","Signed by Speaker","02/23/16","S12","Enrolled Bill Communicated to Governor on 2/23/16","02/23/16","","","Acts of Assembly Chapter text (CHAP0184)","03/01/16","N","Y","Y","Y","N","N","Y","N","SB727","01/22/16","SB727S1","02/08/16","SB727ER","02/23/16","CHAP0184","03/01/16","","","","","H5620","S7010","","G9998","CHAP0184","01/22/16","G9998"
"SB728","Punitive damages; injury by intoxicated drivers, admission of evidence.","S69","McDougle","H08","Signed by Speaker","03/08/16","S03","Enrolled Bill Communicated to Governor on 3/11/16","03/11/16","","","Approved by Governor-Chapter 624 (effective 7/1/16)","04/01/16","N","Y","Y","Y","N","N","Y","N","SB728","01/22/16","SB728S1","02/08/16","SB728ER","03/08/16","","","","","","","H5620","S7010","","G7050","","01/22/16","G7050"
"SB729","Unmanned aircraft system; use during commission of a crime, penalty.","S78","Stuart","H08","Left in Courts of Justice","03/08/16","S03","Read third time and passed Senate (36-Y 4-N)","02/11/16","","","","","N","N","Y","N","Y","N","N","N","SB729","01/22/16","SB729S1","02/08/16","","","","","","","","","H0894","S5000","","","","01/22/16","H0894"
"SB730","Driving while texting; involuntary manslaughter, maiming, etc., of another, penalties.","S78","Stuart","","","","S05","Left in Finance","02/17/16","","","","","N","N","N","N","Y","N","N","N","SB730","01/22/16","SB730S1","02/01/16","","","","","","","","","","S0594","","","","01/22/16","S0594"
"SB731","Capital outlay funding; issuance of bonds by VPBA & VCBA for certain projects & programs.","S47","Hanger","H02","Signed by Speaker","03/25/16","S05","Enrolled Bill Communicated to Governor on 3/28/16","03/28/16","Amended by conference committee","03/11/16","Governor's Action Deadline Midnight, Sunday, April 10, 2016","03/28/16","N","Y","Y","Y","N","N","N","N","SB731","01/22/16","SB731S1","02/16/16","SB731H1","02/22/16","SB731S2","03/11/16","SB731ER","03/25/16","","","H5620","S7010","C6038","G7010","","01/22/16","G7010"
"SB732","Assisted living facilities; no facility shall be required to provide or allow hospice care.","S47","Hanger","H12","Signed by Speaker","03/04/16","S09","Enrolled Bill Communicated to Governor on 3/8/2016","03/08/16","","","Approved by Governor-Chapter 598 (effective 7/1/16)","04/01/16","N","Y","Y","Y","N","N","Y","N","SB732","01/22/16","SB732E","02/02/16","SB732ER","03/04/16","","","","","","","H5620","S7010","","G7050","","01/22/16","G7050"
